pl_name,radius_earth,mass_earth,semi_major_axis_au,period_days,insol_earth,t_eq_K,star_teff_K,star_radius_solar,star_mass_solar,source
2MASS J0518-2828 b,,16527.16,1.8,3650.0,,1330.0,,,,ExoplanetEU
2MASS J0523-1403,11.32109,21466.2382,,,,1939.0,,,,ExoplanetEU
2MASS J0525-7425 b,,22248.1,2020.0,,,,3320.0,0.451,0.46,ExoplanetEU
2MASS J0533-0156,,19069.8,,,,2880.0,,,,ExoplanetEU
2MASS J0534-0530 b,,1462.0179999999998,198.5,,,,2841.0,0.74,0.07,ExoplanetEU
2MASS J0535-0522 b,,5085.28,260.2,,,,3235.0,,1.7,ExoplanetEU
2MASS J0535-0525,,4831.016,,,,2386.0,,,,ExoplanetEU
2MASS J0535-0532 b,,16209.33,78.0,,,,2935.0,1.28,0.138,ExoplanetEU
2MASS J0535-0546,73.08268,18020.961,,,,,,,,ExoplanetEU
2MASS J0535-0546 b,53.91528999999999,11314.748,0.0398,,,,,,,ExoplanetEU
2MASS J0536-1920,17.037679999999998,921.7069999999999,,,,1648.0,,,,ExoplanetEU
2MASS J0537-0155,54.812009999999994,19069.8,,,,2880.0,,,,ExoplanetEU
2MASS J05373850+2428517,,7945.75,,,,,,,,ExoplanetEU
2MASS J05383976-0232203,,6356.599999999999,,,,2539.0,,,,ExoplanetEU
2MASS J0558-4501 b,,2860.47,1043.0,,,,,,,ExoplanetEU
2MASS J0559-1404,10.872729999999999,16031.345199999998,,,,1301.0,,,,ExoplanetEU
2MASS J0608-2753,16.92559,12013.973999999998,,,,2145.0,,,,ExoplanetEU
2MASS J0614+3950,,17480.649999999998,,,,1350.0,,,,ExoplanetEU
2MASS J0624-4521,11.09691,17811.193199999998,,,,1501.0,,,,ExoplanetEU
2MASS J0642+4101,13.78707,3813.96,,,,1124.0,,,,ExoplanetEU
2MASS J0652-57,,3813.96,,,,,,,,ExoplanetEU
2MASS J0652-57 b,,3178.2999999999997,7.3,40150.0,,,,,,ExoplanetEU
2MASS J0718-6415,14.45961,953.49,,,,596.0,,,,ExoplanetEU
2MASS J0727+1710,10.53646,12888.006499999998,,,,845.0,,,,ExoplanetEU
2MASS J0729-3954,10.53646,11899.555199999999,,,,752.0,,,,ExoplanetEU
2MASS J0735+2720 b,,18434.14,112.0,,,,,,0.076,ExoplanetEU
2MASS J0742+2055,10.53646,13803.356899999999,,,,958.0,,,,ExoplanetEU
2MASS J0809+4434,15.132150000000001,4131.79,,,,1253.0,,,,ExoplanetEU
2MASS J0825+2115,10.98482,16520.803399999997,,,,1341.0,,,,ExoplanetEU
2MASS J0829+2655,6.859908,1589.1499999999999,,,,1679.0,,,,ExoplanetEU
2MASS J0830+0128,10.760639999999999,14753.668599999999,,,,1138.0,,,,ExoplanetEU
2MASS J0830+4828,11.09691,15255.84,,,,1258.0,,,,ExoplanetEU
2MASS J0835-0819,11.209,19854.840099999998,,,,1754.0,,,,ExoplanetEU
2MASS J0838+1511 A,,6356.599999999999,,,,,,,,ExoplanetEU
2MASS J0838+1511 B,,5720.94,27.0,,,,,,,ExoplanetEU
2MASS J0838+1511 C,,5085.28,2.5,,,,,,,ExoplanetEU
2MASS J0850+1057,,12713.199999999999,7700.0,,,,2949.0,0.14,0.116,ExoplanetEU
2MASS J0850+1057 b,12.890349999999998,8263.58,4.64,,,,,,,ExoplanetEU
2MASS J0856+3746,,16844.989999999998,,,,,,,,ExoplanetEU
2MASS J0856-1342,,4576.7519999999995,,,,2100.0,,,,ExoplanetEU
2MASS J0859-1949,10.98482,15983.670699999999,,,,1374.0,,,,ExoplanetEU
2MASS J0928-1603,8.025644,731.0089999999999,,,,2584.0,,,,ExoplanetEU
2MASS J0937+2931,10.53646,13209.0148,,,,881.0,,,,ExoplanetEU
2MASS J0939-2448,12.44199,9534.9,,,,600.0,,,,ExoplanetEU
2MASS J0949-1545,10.760639999999999,14712.350699999999,,,,1125.0,,,,ExoplanetEU
2MASS J0951-8023,16.253049999999998,4767.45,,,,1463.0,,,,ExoplanetEU
2MASS J0953-5055 b,,9534.9,2100.0,,,,2974.0,0.16,0.131,ExoplanetEU
2MASS J1007-4555,10.53646,14124.365199999998,,,,1017.0,,,,ExoplanetEU
2MASS J1010-0406,10.98482,16260.182799999999,,,,1416.0,,,,ExoplanetEU
2MASS J1022+5825,15.804689999999999,8644.975999999999,,,,1820.0,,,,ExoplanetEU
2MASS J1036-3441,14.79588,2599.8493999999996,,,,1074.0,,,,ExoplanetEU
2MASS J1047+2124,,13348.859999999999,,,,,,,,ExoplanetEU
2MASS J1059-2113 b,,11441.88,53.0,,,,,,0.076,ExoplanetEU
2MASS J1106+2754,,15255.84,,,,,,,,ExoplanetEU
2MASS J1106+2754 b,,11441.88,2.67,,,,,,,ExoplanetEU
2MASS J1114-2618,10.760639999999999,10339.0099,,,,669.0,,,,ExoplanetEU
2MASS J1115+1937,16.813499999999998,4449.62,,,,,,,,ExoplanetEU
2MASS J1118-0640 b,10.0881,20658.95,709.0,,,1300.0,3030.0,0.216,0.185,ExoplanetEU
2MASS J1119-1137,15.692599999999999,1175.971,,,,1013.0,,,,ExoplanetEU
2MASS J1119-1137 b,15.692599999999999,1175.971,3.6,32850.0,,1006.0,,,,ExoplanetEU
2MASS J1124+3808 b,,10170.56,148.31,,,,3172.0,0.231,0.201,ExoplanetEU
2MASS J1146+2230,,19069.8,,,,,,,,ExoplanetEU
2MASS J1146+2230 b,,19069.8,7.6,,,,,,,ExoplanetEU
2MASS J1154-3400,14.392356,2034.112,,,,2581.0,,,,ExoplanetEU
2MASS J1155-3727,11.209,20194.9182,,,,1793.0,,,,ExoplanetEU
2MASS J1155-7919 b,,3178.2999999999997,582.0,,,,,,,ExoplanetEU
2MASS J11550485-7919108 b,12.10572,6356.599999999999,587.0,,,2506.0,3021.0,0.600455,0.58846,NASA
2MASS J1200-7845,51.56139999999999,15891.5,,,,2817.0,,,,ExoplanetEU
2MASS J1207+0244,,18434.14,,,,,,,,ExoplanetEU
2MASS J1207+0244 b,,11441.88,17.0,,,,,,,ExoplanetEU
2MASS J12073346-3932539 b,12.890349999999998,1589.1499999999999,55.0,,,1250.0,2825.0,0.21887,0.024,NASA
2MASS J1209-1004,10.31228,15573.67,,,,1336.0,,,,ExoplanetEU
2MASS J1209-1004 b,11.32109,7945.75,3.31,8030.0,,802.0,,,,ExoplanetEU
2MASS J12114960+7752445 b,,17258.168999999998,1.15,651.2,,,3477.0,0.437,0.433,ExoplanetEU
2MASS J1214+6316,,11441.88,,,,,,,,ExoplanetEU
2MASS J1214+6316 b,,11441.88,24.0,,,,,,,ExoplanetEU
2MASS J1217-0311,10.53646,13253.511,,,,885.0,,,,ExoplanetEU
2MASS J1219+3128,10.872729999999999,15573.67,,,,1330.0,,,,ExoplanetEU
2MASS J1225-2739,,10488.39,,,,1100.0,,,,ExoplanetEU
2MASS J1225-2739 b,,7627.92,3.8,12410.0,,800.0,,,,ExoplanetEU
2MASS J1233-5714 b,,14779.095,1368.0,,,,4731.81,1.155,1.0,ExoplanetEU
2MASS J1237+6526,,13031.029999999999,,,,830.0,,,,ExoplanetEU
2MASS J1247-3816,,5530.241999999999,,,,2000.0,,,,ExoplanetEU
2MASS J1252+2735 b,,,,35.08,,,5181.0,1.076,0.88,ExoplanetEU
2MASS J1253+2734 b,,,,24.31,,,4535.0,0.633,0.71,ExoplanetEU
2MASS J1254-0122,10.98482,15077.855199999998,,,,1219.0,,,,ExoplanetEU
2MASS J1258+2630 b,,,,11.88,,,3825.0,0.602,0.5898,ExoplanetEU
2MASS J1311+3629,,18434.14,,,,,,,,ExoplanetEU
2MASS J1311+3629 b,,11441.88,27.0,,,,,,,ExoplanetEU
2MASS J1315-2649 b,10.20019,8899.24,6.6,19162.5,,670.0,1770.0,0.084,0.074,ExoplanetEU
2MASS J1320+0409,11.32109,21275.5402,,,,1913.0,,,,ExoplanetEU
2MASS J1324+6358,13.78707,3655.0449999999996,,,,,,,,ExoplanetEU
2MASS J1326-0038,10.872729999999999,16237.9347,,,,1381.0,,,,ExoplanetEU
2MASS J1326-2729,6.265831,5434.893,,,,1756.0,,,,ExoplanetEU
2MASS J1341-3052,,16527.16,,,,1904.0,,,,ExoplanetEU
2MASS J1341-3052 b,,6992.259999999999,8.6,31025.0,,1027.0,,,,ExoplanetEU
2MASS J1346-0031,10.53646,14076.6907,,,,1011.0,,,,ExoplanetEU
2MASS J1359-4034,11.209,20163.135199999997,,,,1799.0,,,,ExoplanetEU
2MASS J1404-3159,,20658.95,,,,,,,,ExoplanetEU
2MASS J1404-3159 b,,17480.649999999998,3.15,6029.8,,,,,,ExoplanetEU
2MASS J1411-2119,22.19382,22127.3246,,,,2694.0,,,,ExoplanetEU
2MASS J1415+5724,,15255.84,,,,,,,,ExoplanetEU
2MASS J1415+5724 b,,11441.88,29.0,,,,,,,ExoplanetEU
